month,total_orders,late_orders,late_rate_pct
2016-09,7,3,42.86
2016-10,379,2,0.53
2016-12,1,0,0.0
2017-01,966,24,2.48
2017-02,1998,58,2.9
2017-03,3041,136,4.47
2017-04,2697,160,5.93
2017-05,4176,128,3.07
2017-06,3611,103,2.85
2017-07,4576,133,2.91
2017-08,4948,133,2.69
2017-09,4873,208,4.27
2017-10,5385,204,3.79
2017-11,8758,1009,11.52
2017-12,6357,452,7.11
2018-01,8257,463,5.61
2018-02,7706,1047,13.59
2018-03,8240,1447,17.56
2018-04,7980,319,4.0
2018-05,7945,495,6.23
2018-06,7085,81,1.14
2018-07,7111,228,3.21
2018-08,7308,432,5.91
2018-09,16,0,0.0
2018-10,4,0,0.0
