customer_state,total_orders,late_rate_pct,avg_delivery_delay,avg_freight_value
AC,92,3.26,-20.978021978021975,40.07336956521739
AL,446,19.96,-8.735362997658079,35.843671171171174
AM,166,3.01,-19.932515337423315,33.20539393939394
AP,82,3.66,-18.395061728395063,34.00609756097561
BA,3821,11.46,-10.982622861797449,26.363958936562252
CE,1487,13.05,-11.103786816269285,32.71420162381597
DF,2421,5.82,-12.200424628450106,21.04135494596841
ES,2264,10.56,-10.64629213483146,22.058776595744682
GO,2346,6.05,-12.294246815985948,22.76681525932276
MA,831,17.33,-9.90625,38.25700242718447
MG,13220,4.28,-13.342649221955565,20.63016680630665
MS,825,8.85,-11.229346485819976,23.374884004884002
MT,1059,5.95,-14.571841851494696,28.166284360189575
PA,1085,10.97,-14.250474383301707,35.83268518518519
PB,606,10.4,-13.03754266211604,42.72380398671096
PE,1810,8.78,-13.450171821305842,32.917862679955704
PI,544,13.05,-11.52772466539197,39.147970479704796
PR,5787,3.78,-13.486103735174368,20.531651567944248
RJ,14669,11.21,-12.014774494556764,20.960923931682558
RN,532,8.83,-13.952015355086372,35.6523629489603
RO,284,3.87,-20.04029304029304,41.06971223021583
RR,52,9.62,-18.32608695652174,42.98442307692308
RS,6269,5.71,-14.134192075656284,21.73580433039294
SC,4201,7.97,-11.57271839921913,21.47036877394636
SE,390,15.64,-10.002666666666666,36.65316883116883
SP,47820,4.27,-11.207910772344594,15.147275390419185
TO,316,9.49,-12.338709677419354,37.24660317460317
